JQX-4025-QVY#Sortir 1#12.770215#61.139949
RMB-3239-DRE#Sortir 2#60.464352#-21.20395
NYX-5792-RUK#Sortir 3#79.651945#136.000797
IYN-2094-RLU#Sortir 4#-42.406796#70.978337
NSN-2209-RXK#Sortir 5#87.56885#-66.843406
XTX-4414-GRW#Sortir 6#63.72413#-14.837208
YOY-8189-IRA#Sortir 7#-85.284933#-22.461824
TOF-5869-TLT#Sortir 8#31.716947#166.59552
LYX-9180-EOH#Sortir 9#-37.753249#-135.572316
BTI-1733-ZXZ#Sortir 10#13.652534#171.804603
YLO-4554-HRC#Sortir 11#-79.308772#60.841905
ZPD-7641-SJV#Sortir 12#71.36671#72.735198
WYH-6390-NJT#Sortir 13#10.017121#-25.08228
RCK-2858-VPW#Sortir 14#5.321762#24.728705
FKD-3905-LPL#Sortir 15#-87.142889#159.604322
TQO-1732-PUQ#Sortir 16#-35.098307#-70.145406
VWP-5493-KJU#Sortir 17#-29.298845#-136.065923
HTU-1597-MYE#Sortir 18#-61.680391#-2.973114
SHQ-4138-GXF#Sortir 19#39.470074#-127.789555
RJL-3988-NPR#Sortir 20#-14.610737#-55.997962
YRJ-0592-GNC#Sortir 21#-80.474959#-38.848082
FWV-4278-TZX#Sortir 22#24.068719#91.795207
CON-3494-PYN#Sortir 23#10.496169#-66.557785
ATE-7380-XNE#Sortir 24#-19.143462#-79.716187
TPR-4552-QGS#Sortir 25#44.286375#94.691417
JUG-5905-CDI#Sortir 26#50.886011#-22.70252
FUH-2063-GLS#Sortir 27#-18.831119#91.793904
XGE-4305-AAJ#Sortir 28#-13.128094#161.850985
NWN-1953-UUZ#Sortir 29#-56.757177#-33.079713
ZCW-8755-FAW#Sortir 30#11.808293#102.813969
MFZ-7112-FNI#Sortir 31#82.727477#-124.204743
PDF-5850-GNT#Sortir 32#65.495806#27.814097
VVN-0366-BBM#Sortir 33#-63.534017#178.389311
EGP-3753-FXJ#Sortir 34#38.360209#13.601997
ZNS-4065-VYZ#Sortir 35#32.688716#50.741478
YYN-0166-DQO#Sortir 36#-82.134178#107.722905
VGS-5064-AHU#Sortir 37#-15.073013#-76.249351
IHD-8938-VKK#Sortir 38#-86.142848#-125.49323
WHD-6186-EMF#Sortir 39#-57.808742#-69.409504
LIG-7359-YTX#Sortir 40#-29.023241#175.523466
SGO-3123-RXA#Sortir 41#-21.877992#-33.548516
HEH-7531-EGI#Sortir 42#-66.803406#37.966612
RTR-1624-MXA#Sortir 43#-10.892209#160.231499
ISF-8260-WWM#Sortir 44#-5.323104#-28.001965
STO-8323-YGW#Sortir 45#8.663789#-118.173208
CEV-5082-NPE#Sortir 46#-4.002616#-137.042023
KKS-0100-SRM#Sortir 47#46.718097#57.887188
OAI-0699-IST#Sortir 48#77.147348#-125.900426
RYC-4285-XAS#Sortir 49#-16.079211#-23.348944
NBZ-6118-JBI#Sortir 50#51.88592#-165.788769
WSP-3455-UZT#Sortir 51#-80.482416#47.390798
KBX-7348-NPB#Sortir 52#-47.821152#-11.666367
TSJ-3593-ZGO#Sortir 53#51.231007#-5.600291
ATB-9538-MHM#Sortir 54#-57.459782#50.230242
VBH-8794-KAS#Sortir 55#-43.637101#-17.519993
OYV-6975-QZP#Sortir 56#77.873353#-52.410335
OWH-9912-FSF#Sortir 57#-89.775991#32.821167
OYG-2902-DLO#Sortir 58#-48.085287#-132.512296
JQU-1834-FVQ#Sortir 59#-25.042033#110.085861
GJO-8576-EPX#Sortir 60#-41.394936#-99.333653
JNS-3356-NYR#Sortir 61#73.064432#43.391713
CDY-9307-SOJ#Sortir 62#7.792715#-76.728662
WJM-8688-ZWG#Sortir 63#56.174684#42.73589
BVC-6519-GWF#Sortir 64#12.838054#-127.636626
AMM-9108-XNE#Sortir 65#52.90586#-2.738236
JGG-9380-BXY#Sortir 66#49.088934#-119.661425
MBY-5880-WNC#Sortir 67#52.325256#122.864387
ASJ-7671-CAF#Sortir 68#-11.384417#92.617484
WFR-9212-OUL#Sortir 69#57.776461#119.109213
DZE-1957-YZM#Sortir 70#18.577838#-119.790627
OPH-4618-UVI#Sortir 71#-60.726865#131.749211
YOE-0695-HEU#Sortir 72#13.551208#-97.361459
FUX-6507-RJJ#Sortir 73#45.324355#167.79207
UBI-9313-XWB#Sortir 74#9.979183#56.182192
WDZ-5853-EKW#Sortir 75#-28.892509#-94.170887
WRF-9688-CVY#Sortir 76#-42.090593#68.429089
GTL-0250-WNG#Sortir 77#-79.673005#117.918183
GKN-2418-CBL#Sortir 78#-63.194291#-163.944003
MPU-5940-ALL#Sortir 79#50.37942#-80.038226
KVN-7803-FPM#Sortir 80#-50.234924#131.552889
NXM-5811-YWD#Sortir 81#4.292395#-27.702804
UQC-2188-SMR#Sortir 82#78.093244#-21.224267
XCY-6863-FLP#Sortir 83#30.500807#61.931784
UKH-3935-CVA#Sortir 84#29.736812#96.761157
QJW-2800-LVO#Sortir 85#83.706754#27.773514
HRC-1682-SNG#Sortir 86#15.416427#54.241465
DTT-8862-GBZ#Sortir 87#-34.933243#-82.911771
MFO-5311-XEQ#Sortir 88#69.219007#-58.785424
FSX-7071-TKC#Sortir 89#35.464242#28.526995
ZHC-9245-DYA#Sortir 90#0.737695#-106.573172
KNH-6544-JNE#Sortir 91#66.914002#-98.586556
LKW-2746-EEO#Sortir 92#5.54363#-112.791665
EEG-7645-LWY#Sortir 93#75.496102#66.923582
BHW-0283-TES#Sortir 94#-9.780713#11.691888
CFI-2796-GMH#Sortir 95#12.353569#-53.488233
KAS-0020-ZPT#Sortir 96#-50.899389#102.860057
NIV-0155-SBL#Sortir 97#-10.65214#0.827133
RGB-4063-MKW#Sortir 98#12.291134#6.682488
GVR-6503-KNI#Sortir 99#26.858741#57.826977
SUG-1113-FRF#Sortir 100#-1.757895#7.230416
XVK-5024-RJK#Sortir 101#52.344325#-59.745305
WBR-7887-OEH#Sortir 102#-52.760163#40.884187
BNF-0854-SSK#Sortir 103#-17.246807#-41.562083
ERO-1550-OQU#Sortir 104#-65.391929#157.153243
WFH-1984-RPO#Sortir 105#-45.29931#67.424192
WED-1884-ISP#Sortir 106#-2.74163#31.41197
EIW-2682-TLE#Sortir 107#1.885162#-167.92883
RUE-6598-DCS#Sortir 108#-49.711264#-16.233086
NIX-2746-UVD#Sortir 109#-72.953275#17.006107
TLE-8003-ZGF#Sortir 110#45.651483#34.672409
GNS-4294-YGP#Sortir 111#-26.926352#-11.87211
GGU-8529-OSR#Sortir 112#68.341241#103.721656
DCH-1271-RHA#Sortir 113#-82.994615#-38.552023
NGZ-8250-DIT#Sortir 114#-70.038905#-94.153883
NHI-2653-PGE#Sortir 115#72.561356#59.63433
EGO-1592-GEG#Sortir 116#67.063878#141.745702
HNI-3886-OUH#Sortir 117#-46.89225#-18.053979
QXT-4798-BQI#Sortir 118#17.74411#92.753755
QPA-7967-DPS#Sortir 119#-87.581393#159.106869
PMM-8664-ILS#Sortir 120#-28.063111#-51.13001
SGS-8626-TBL#Sortir 121#71.310176#-120.245621
RMR-4078-IIH#Sortir 122#-76.834787#-5.565577
QBC-5408-MUG#Sortir 123#-4.170555#-80.717254
YYU-5561-ISS#Sortir 124#44.163909#-122.502251
MAX-6206-VQU#Sortir 125#-24.530821#143.679678
JKE-3195-HRV#Sortir 126#23.531347#-167.683878
HUM-4503-JYA#Sortir 127#-6.405215#-145.689681
KNY-4418-POI#Sortir 128#-53.566177#-14.639709
HZJ-5054-YTJ#Sortir 129#82.294896#-84.977201
UWQ-3724-VQO#Sortir 130#0.727688#167.642643
UPP-4213-EXD#Sortir 131#-2.266905#131.678531
TUE-6250-XMI#Sortir 132#-14.133273#-34.534026
DIT-6140-RWI#Sortir 133#-44.306182#58.922469
KZO-4023-VAH#Sortir 134#15.625597#15.275842
YYC-0438-HQQ#Sortir 135#-7.373983#28.000113
YTI-5078-LUO#Sortir 136#-16.505472#149.633012
THX-4866-WRQ#Sortir 137#18.567108#-98.744401
EPQ-1971-CBP#Sortir 138#62.393623#-131.467972
XMI-0318-DPT#Sortir 139#36.725956#139.120924
OJS-1604-OSC#Sortir 140#-76.54404#54.631217
RXM-4311-IIX#Sortir 141#-81.657231#-56.842802
NVR-3519-NDS#Sortir 142#-62.878239#175.730503
DBG-6429-YLS#Sortir 143#-66.43413#138.910283
LWO-3326-XOQ#Sortir 144#-30.253772#23.573202
JRQ-0303-SUC#Sortir 145#50.422882#13.34397
TWS-4166-FGM#Sortir 146#-4.087884#-169.050583
TEO-0322-KKN#Sortir 147#-14.558011#148.483122
CJS-1221-CEL#Sortir 148#37.068149#-157.978079
EQM-9013-CKP#Sortir 149#40.508251#124.80364
TVT-7763-XKL#Sortir 150#64.47225#-63.444088
TKY-6846-UNW#Sortir 151#-84.682454#-40.031704
TAK-6148-YMB#Sortir 152#-9.345997#1.034692
JWX-3029-IDM#Sortir 153#-31.00028#-154.970995
JPJ-6738-PID#Sortir 154#64.734527#-68.530541
ABF-3194-UOZ#Sortir 155#10.024773#123.043044
RCD-3119-YUM#Sortir 156#44.94683#-10.083123
JIV-8978-TWS#Sortir 157#-76.72305#-17.335101
KDG-2401-DOD#Sortir 158#-27.766967#-53.194416
PPF-5940-CNI#Sortir 159#74.850265#158.178527
UEK-9038-FTK#Sortir 160#-43.688036#164.822747
WXU-8250-GDX#Sortir 161#-3.317414#-64.448691
TJQ-1618-FTH#Sortir 162#-19.56607#-59.170883
LDX-6502-TDU#Sortir 163#-39.062787#85.319048
TPJ-3317-EMO#Sortir 164#34.945366#174.396225
UYR-6615-VDY#Sortir 165#1.597848#80.384375
SEP-6561-VEU#Sortir 166#-71.607179#16.416065
YMP-7748-IMR#Sortir 167#-54.574383#-146.38313
JLH-7787-WEK#Sortir 168#7.203967#-171.088744
AXK-3033-GNF#Sortir 169#52.75509#-132.719082
SEW-7532-XDA#Sortir 170#-85.38282#-51.222505
KJD-7662-NII#Sortir 171#-31.472179#-104.79909
HEI-9013-AIP#Sortir 172#27.68258#169.284236
XKO-6643-WGG#Sortir 173#-71.874232#165.644919
OPI-5180-FUT#Sortir 174#57.212169#150.054149
ORS-8308-GUA#Sortir 175#-65.493922#-15.237452
XBF-3621-LPU#Sortir 176#-62.529746#-151.49716
IMA-2855-DCT#Sortir 177#-8.342217#-53.373893
DMW-8560-NTK#Sortir 178#87.550991#68.011085
PSB-7997-FGI#Sortir 179#42.841774#5.760864
FLK-8177-YQC#Sortir 180#-42.20257#-162.538203
WSC-6287-FNS#Sortir 181#-57.141941#-138.837663
YLQ-5489-XTG#Sortir 182#-0.381553#-104.003851
KMR-2809-PTI#Sortir 183#-64.305806#-134.792925
ZHD-6604-DHZ#Sortir 184#68.100902#-91.450386
VFJ-8335-EGT#Sortir 185#-9.336782#86.173178
KBJ-5079-QRK#Sortir 186#-75.056111#-113.054344
VMN-8563-BLK#Sortir 187#65.08983#-38.496978
QUY-2583-PGZ#Sortir 188#49.029587#35.367275
DKW-4186-GTP#Sortir 189#-37.567238#62.350392
HKP-9063-ELP#Sortir 190#-9.645573#146.889246
KVE-3490-HMC#Sortir 191#35.937128#46.205046
AIJ-7847-YGG#Sortir 192#-45.534337#116.913071
ZPB-2449-USU#Sortir 193#-7.480318#-64.435081
VYB-4049-IBL#Sortir 194#44.285265#-109.409662
PMQ-5742-LCX#Sortir 195#-40.631628#42.898799
RFO-4125-WII#Sortir 196#56.8826#-110.925568
XMJ-3198-IAY#Sortir 197#68.911819#-38.974469
IXD-7468-MBK#Sortir 198#-39.335305#175.514531
VVU-5231-QTA#Sortir 199#43.726435#-115.339515
ZGF-3727-HWK#Sortir 200#-0.223207#41.294086
TEE-0705-FAB#Sortir 201#-70.054262#11.751798
VFH-7965-LTG#Sortir 202#38.453537#129.928891
LGQ-3420-RWA#Sortir 203#41.548908#-85.432713
MYX-2493-QNG#Sortir 204#-41.697593#77.836571
HAU-4313-ATB#Sortir 205#1.322586#136.827356
