TJV-7387-ZUB#Sortir 1#-21.547577#74.536791
HFA-8852-SCK#Sortir 2#-46.789857#174.470995
OAB-2869-ZOT#Sortir 3#86.396553#174.680702
KWV-2318-OJL#Sortir 4#-54.838697#-92.142227
DES-1055-BBM#Sortir 5#-15.096475#-144.982207
DIF-7158-YOR#Sortir 6#3.000499#-49.386533
WHQ-4652-KOG#Sortir 7#-89.833583#34.025165
UCN-9934-RLR#Sortir 8#39.53095#107.560141
KXS-5671-GHU#Sortir 9#-81.826289#136.37434
DHT-1768-OZK#Sortir 10#-53.052417#72.740454
TZV-8484-TKG#Sortir 11#82.475895#-111.316012
HYN-2429-MKW#Sortir 12#54.353229#-60.280791
GFM-5749-NIT#Sortir 13#-49.90371#-70.831926
XNZ-3552-NAM#Sortir 14#54.46974#96.530824
BAC-2511-ZDW#Sortir 15#-11.261316#14.713586
HTR-8541-ERJ#Sortir 16#-62.568266#92.540673
PUW-5311-ASD#Sortir 17#-35.147685#-13.088484
GHV-5537-SRR#Sortir 18#39.578046#167.034739
VAN-7522-XPZ#Sortir 19#-15.372755#158.388014
MBF-1187-IJS#Sortir 20#20.610845#-56.365639
FLN-8869-YZO#Sortir 21#-27.718149#-54.871549
CJS-5216-ZES#Sortir 22#-88.248351#-21.547248
MIH-4007-ZHW#Sortir 23#12.787095#20.552155
NZX-7661-VCM#Sortir 24#-74.080834#132.200566
YBK-0401-YYR#Sortir 25#-10.021884#-33.787943
EWW-3194-VRH#Sortir 26#47.261974#-2.618736
HQI-0759-GJH#Sortir 27#-26.170485#73.771612
UMR-7192-RRX#Sortir 28#45.973349#22.085903
MMJ-7630-BPZ#Sortir 29#-44.656331#-100.177881
EOP-1151-KKE#Sortir 30#79.58503#129.449229
EJK-5960-INC#Sortir 31#62.148537#-65.410751
BNZ-2542-BIZ#Sortir 32#47.261421#-156.225322
ZTQ-1044-MIQ#Sortir 33#-86.473733#11.221812
BKR-9717-YOR#Sortir 34#-18.461669#16.445933
JNR-7984-OYF#Sortir 35#32.394795#-20.739101
ABT-3739-AZD#Sortir 36#-9.324938#91.931539
PNX-5109-RZQ#Sortir 37#-24.664082#94.779025
PIZ-0703-YBO#Sortir 38#-28.550843#17.385727
RSS-1232-NZG#Sortir 39#19.638002#110.94201
FJT-4547-KIP#Sortir 40#5.958454#148.21804
EAJ-1135-NVT#Sortir 41#-70.794365#82.830971
DHM-1717-FBK#Sortir 42#-6.914871#4.460716
DTP-9420-OZR#Sortir 43#16.844134#-132.726015
